Location,excel_date,Date,Air_Temperature,LPF_1,LPF_2,LPF_3,RF,Wind_Speed,Humidity,Solar_Radiation,Snow,0mm,100mm,500mm,800mm,1100mm
GR,9/1/2019 0:00,1567296000,20.7,20.7,20.7,20.7,,2.1,74,,,19.5,20,20.5,21.5,21.5
GR,9/1/2019 1:00,1567299600,20.8,20.75,20.70909091,20.70000908,,2.7,73,,,18.5,20,20.5,21.5,21.5
GR,9/1/2019 2:00,1567303200,21,20.875,20.73553719,20.70004457,,2.8,72,,,18.5,20,20.5,21.5,21.5
GR,9/1/2019 3:00,1567306800,21.3,21.0875,20.78685199,20.7001313,,2.8,69,,,17.5,19.5,20.5,21.5,21.5
GR,9/1/2019 4:00,1567310400,20.9,20.99375,20.79713817,20.70022821,,3.2,70,,,17.5,19.5,20.5,21.5,21.5
GR,9/1/2019 5:00,1567314000,20.6,20.796875,20.77921652,20.70030711,,3.2,71,,,17,19,20.5,21.5,21.5
GR,9/1/2019 6:00,1567317600,20,20.3984375,20.70837866,20.70031518,,3.4,72,0,,17,19,20.5,21.5,21.5
GR,9/1/2019 7:00,1567321200,20.6,20.49921875,20.69852605,20.70031339,,4,68,0.1,,17.5,19,20.5,21.5,21.5
GR,9/1/2019 8:00,1567324800,22.1,21.29960938,20.82593277,20.70043888,,3.8,63,0.79,,17.5,19.5,20.5,21.5,21.5
GR,9/1/2019 9:00,1567328400,24.1,22.69980469,21.12357525,20.7008616,,2.3,59,1.44,,19,20,20.5,21.5,21.5
GR,9/1/2019 10:00,1567332000,26.9,24.79990234,21.64870477,20.70180849,,1.1,46,2.19,,23,21,20.5,21.5,21.5
GR,9/1/2019 11:00,1567335600,27.9,26.34995117,22.21700434,20.70332218,,2.5,50,2.49,,25.5,21.5,20.5,21,21.5
GR,9/1/2019 12:00,1567339200,28.1,27.22497559,22.75182213,20.70536863,,2.6,46,2.96,,26.5,22,20.5,21,21.5
GR,9/1/2019 13:00,1567342800,28.3,27.76248779,23.25620193,20.70791692,,2.8,54,3.03,,26,22,20.5,21,21
GR,9/1/2019 14:00,1567346400,27.6,27.6812439,23.65109267,20.71085715,,3,60,1.9,,26,22,20.5,21,21
GR,9/1/2019 15:00,1567350000,27.3,27.49062195,23.98281151,20.71412584,,3.1,59,2.19,,25,22,20.5,21,21
GR,9/1/2019 16:00,1567353600,26.6,27.04531097,24.22073774,20.71762895,,1.9,65,1.01,,23.5,22,20.5,21,21
GR,9/1/2019 17:00,1567357200,26.4,26.72265549,24.41885249,20.72132647,,1.2,66,0.64,,23,21.5,20.5,21,21
GR,9/1/2019 18:00,1567360800,26.2,26.46132774,24.58077499,20.72518206,,1.8,66,0.46,,22,21.5,20.5,21,21
GR,9/1/2019 19:00,1567364400,24.7,25.58066387,24.59161363,20.72904463,,1.2,73,0.09,,21,21,20.5,21,21
GR,9/1/2019 20:00,1567368000,24.1,24.84033194,24.54692148,20.7328587,,1.1,77,,,19.5,20.5,20.5,21,21
GR,9/1/2019 21:00,1567371600,23.2,24.02016597,24.42447407,20.73654662,,1.9,83,,,19,20.5,20.5,21,21
GR,9/1/2019 22:00,1567375200,22.7,23.36008298,24.2677037,20.74007425,,2.2,80,,,19,20.5,20.5,21,21
GR,9/1/2019 23:00,1567378800,22.1,22.73004149,24.07063973,20.74340149,,2.4,81,,,18.5,20,20.5,21,21
GR,9/2/2019 0:00,1567382400,21.8,22.26502075,23.86421794,20.74651919,,1.3,79,,,18.5,20,20.5,21,21
GR,9/2/2019 1:00,1567386000,21.7,21.98251037,23.66747085,20.74943722,,2.6,76,,,18,20,20.5,21,21
GR,9/2/2019 2:00,1567389600,21.9,21.94125519,23.50679168,20.75219182,,2,72,,,18,20,20.5,21.5,21
GR,9/2/2019 3:00,1567393200,21.7,21.82062759,23.34253789,20.75477958,,2.5,73,,,18,19.5,20.5,21.5,21
GR,9/2/2019 4:00,1567396800,21.6,21.7103138,23.18412536,20.7572065,,2.6,73,,,17.5,19.5,20.5,21.5,21
GR,9/2/2019 5:00,1567400400,21.7,21.7051569,23.04920487,20.75949621,,3.3,71,,,17.5,19.5,20.5,21.5,21
GR,9/2/2019 6:00,1567404000,21.4,21.55257845,22.89927716,20.76163385,,2.7,72,0,,17.5,19.5,20.5,21.5,21
GR,9/2/2019 7:00,1567407600,21.7,21.62628922,22.79025196,20.76366044,,3.1,70,0.14,,17.5,19.5,20.5,21.5,21
GR,9/2/2019 8:00,1567411200,22.6,22.11314461,22.77295633,20.76566773,,3.5,67,0.56,,18,19.5,20.5,21.5,21.5
GR,9/2/2019 9:00,1567414800,24.3,23.20657231,22.91177848,20.7678117,,2.5,61,1.25,,20.5,20.5,20.5,21.5,21.5
GR,9/2/2019 10:00,1567418400,26.8,25.00328615,23.26525316,20.77030665,,1,37,1.99,,21.5,21,20.5,21.5,21.5
GR,9/2/2019 11:00,1567422000,27.8,26.40164308,23.67750288,20.77321094,,1.4,42,1.9,,24,21.5,20.5,21,21
GR,9/2/2019 12:00,1567425600,28.3,27.35082154,24.09772989,20.77653214,,1.7,44,2.36,,25,22,20.5,21,21
GR,9/2/2019 13:00,1567429200,28.9,28.12541077,24.5342999,20.78028615,,2.4,45,2.77,,25,22,20.5,21,21
GR,9/2/2019 14:00,1567432800,28.6,28.36270538,24.903909,20.78440565,,3,44,2.97,,26.5,22.5,20.5,21,21
GR,9/2/2019 15:00,1567436400,28.2,28.28135269,25.20355363,20.78882039,,2.5,46,2.34,,24.5,22.5,20.5,21,21
GR,9/2/2019 16:00,1567440000,26.6,27.44067635,25.3305033,20.79335753,,2.6,55,1.3,,23.5,22,20.5,21,21
GR,9/2/2019 17:00,1567443600,25.6,26.52033817,25.355003,20.79791462,,2.6,61,0.58,,22.5,22,20.5,21,21
GR,9/2/2019 18:00,1567447200,24.8,25.66016909,25.30454818,20.80241675,,1.7,65,0.21,,21,21.5,20.5,21,21
GR,9/2/2019 19:00,1567450800,23.9,24.78008454,25.17686199,20.80678683,,1.5,71,0.05,,20,21,20.5,21,21
GR,9/2/2019 20:00,1567454400,23.3,24.04004227,25.00623817,20.81098208,,1.5,73,,,19.5,21,20.5,21,21
GR,9/2/2019 21:00,1567458000,22.8,23.42002114,24.80567106,20.81497278,,0.9,73,,,19,20.5,20.5,21,21
GR,9/2/2019 22:00,1567461600,22.3,22.86001057,24.57788278,20.81873193,,1.5,75,,,19,20.5,20.5,21,21
GR,9/2/2019 23:00,1567465200,22.4,22.63000528,24.37989344,20.82228954,,1,71,,,19,20.5,20.5,21,21
GR,9/3/2019 0:00,1567468800,21.6,22.11500264,24.12717585,20.82559112,,1.8,72,,,18.5,20,20.5,21,21
GR,9/3/2019 1:00,1567472400,21.4,21.75750132,23.87925078,20.82864173,,2,70,,,18.5,20,20.5,21,21
GR,9/3/2019 2:00,1567476000,21.2,21.47875066,23.63568252,20.83144597,,1.8,72,,,18.5,20,21,21,21
GR,9/3/2019 3:00,1567479600,21.1,21.28937533,23.40516593,20.83401711,,1,73,,,18,20,21,21.5,21
GR,9/3/2019 4:00,1567483200,20.7,20.99468767,23.15924176,20.83634002,,1.9,77,,,18,20,21,21.5,21
GR,9/3/2019 5:00,1567486800,20.8,20.89734383,22.94476523,20.83844634,,1.9,77,,,18,19.5,21,21.5,21
GR,9/3/2019 6:00,1567490400,20.6,20.74867192,22.73160476,20.8403376,,0.5,80,0,,18,19.5,21,21.5,21
GR,9/3/2019 7:00,1567494000,19.6,20.17433596,22.44691342,20.84194257,0.5,2.4,89,0.03,,18,20,20.5,21.5,21
GR,9/3/2019 8:00,1567497600,20,20.08716798,22.22446674,20.84332372,0,1.3,88,0.15,,18,20,20.5,21.5,21
GR,9/3/2019 9:00,1567501200,20.8,20.44358399,22.09496976,20.84457411,,1.2,85,0.25,,18.5,20,20.5,21.5,21
GR,9/3/2019 10:00,1567504800,21.5,20.97179199,22.0408816,20.84576922,,0.5,84,0.31,,19,20,20.5,21.5,21.5
GR,9/3/2019 11:00,1567508400,21.6,21.285896,22.00080146,20.8469231,0.5,1,87,0.39,,20,20.5,20.5,21.5,21.5
GR,9/3/2019 12:00,1567512000,21.8,21.542948,21.98254678,20.84805759,0,0.8,83,0.53,,19,20,20.5,21.5,21
GR,9/3/2019 13:00,1567515600,21,21.271474,21.89322435,20.84910171,2.5,1.2,88,0.5,,19,20,20.5,21.5,21.5
GR,9/3/2019 14:00,1567519200,20.4,20.835737,21.75747668,20.85000918,7,0.6,95,0.26,,19,20,20.5,21.5,21.5
GR,9/3/2019 15:00,1567522800,20.3,20.5678685,21.6249788,20.85078338,4.5,0.6,96,0.2,,19,20,20.5,21.5,21.5
GR,9/3/2019 16:00,1567526400,20.2,20.38393425,21.49543527,20.85142739,4.5,1.5,95,0.23,,19,20.5,20.5,21.5,21.5
GR,9/3/2019 17:00,1567530000,20.4,20.39196712,21.39585025,20.85197126,1.5,0.5,95,0.22,,19.5,20.5,20.5,21.5,21.5
GR,9/3/2019 18:00,1567533600,20.6,20.49598356,21.32350022,20.85244232,0,0.2,92,0.23,,19.5,20.5,20.5,21.5,21.5
GR,9/3/2019 19:00,1567537200,20.5,20.49799178,21.24863657,20.85283812,,0.9,93,0.01,,20,20.5,20.5,21.5,21.5
GR,9/3/2019 20:00,1567540800,19.9,20.19899589,21.12603324,20.85311104,0.5,0.9,95,,,19.5,20.5,20.5,21.5,21.5
GR,9/3/2019 21:00,1567544400,19.9,20.04949795,21.01457568,20.85327235,0.5,0.5,96,,,19,20,20.5,21.5,21.5
GR,9/3/2019 22:00,1567548000,20,20.02474897,20.92234152,20.85334135,1,0.8,97,,,19,20,20.5,21.5,21.5
GR,9/3/2019 23:00,1567551600,20,20.01237449,20.83849229,20.85332651,0,0.8,98,,,19,20,20.5,21.5,21.5
GR,9/4/2019 0:00,1567555200,20.1,20.05618724,20.77135663,20.85324462,0.5,0.5,98,,,18.5,20,20.5,21.5,21.5
GR,9/4/2019 1:00,1567558800,20.2,20.12809362,20.71941512,20.85311093,0.5,0.7,98,,,18.5,20,20.5,21.5,21.5
GR,9/4/2019 2:00,1567562400,20.3,20.21404681,20.68128647,20.85293928,0,0.9,98,,,18.5,20,20.5,21.5,21.5
GR,9/4/2019 3:00,1567566000,20.3,20.25702341,20.64662407,20.85273317,,1.4,98,,,18.5,20,20.5,21.5,21.5
GR,9/4/2019 4:00,1567569600,20.2,20.2285117,20.60602188,20.8524867,0.5,0.8,98,,,18.5,20,20.5,21.5,21.5
GR,9/4/2019 5:00,1567573200,20.2,20.21425585,20.5691108,20.85220361,0.5,0.8,98,,,18.5,20,20.5,21.5,21.5
GR,9/4/2019 6:00,1567576800,20.2,20.20712793,20.53555527,20.85188728,1,1.2,98,0,,18,20,20.5,21.5,21.5
GR,9/4/2019 7:00,1567580400,20.5,20.35356396,20.53232297,20.85156803,3,0.3,98,0.04,,18.5,20,20.5,21.5,21.5
GR,9/4/2019 8:00,1567584000,20.6,20.47678198,20.53847543,20.85125525,10,1,98,0.09,,19,20,20.5,21.5,21.5
GR,9/4/2019 9:00,1567587600,21,20.73839099,20.58043221,20.8509847,6,0.9,99,0.33,,19.5,20,20.5,21.5,21.5
GR,9/4/2019 10:00,1567591200,21.7,21.2191955,20.6822111,20.85081609,0.5,0,96,0.51,,20,20.5,20.5,21.5,21.5
GR,9/4/2019 11:00,1567594800,22.3,21.75959775,20.82928282,20.85079458,0,0.2,93,0.7,,22,21,20.5,21.5,21.5
GR,9/4/2019 12:00,1567598400,22.9,22.32979887,21.01752983,20.85096115,0,0,89,0.87,,23,21.5,20.5,21.5,21.5
GR,9/4/2019 13:00,1567602000,22.6,22.46489944,21.16139076,20.85127127,0.5,0.7,95,0.44,,24.5,22,20.5,21,21.5
GR,9/4/2019 14:00,1567605600,22.9,22.68244972,21.31944614,20.85173898,0.5,0.9,94,0.68,,24,22,20.5,21,21
GR,9/4/2019 15:00,1567609200,23.2,22.94122486,21.49040559,20.85237701,,0.7,93,0.63,,24.5,22,20.5,21,21
GR,9/4/2019 16:00,1567612800,23.4,23.17061243,21.66400508,20.85318782,1.5,0.5,95,0.38,,24,22,20.5,21,21
GR,9/4/2019 17:00,1567616400,23.5,23.33530621,21.83091371,20.85416457,0,0,94,0.5,,23,22,20.5,21,21
GR,9/4/2019 18:00,1567620000,23.3,23.31765311,21.96446701,20.85527377,0,1.1,95,0.21,,22,21.5,20.5,21,21
GR,9/4/2019 19:00,1567623600,23.1,23.20882655,22.06769728,20.85648498,,0.4,95,0.07,,19.5,20.5,20.5,21,21
GR,9/4/2019 20:00,1567627200,22.9,23.05441328,22.14336116,20.85777057,,0.4,96,,,19,20.5,20.5,21,21
GR,9/4/2019 21:00,1567630800,22.9,22.97720664,22.21214651,20.85912359,,0.6,96,,,19,20.5,21,21,21
GR,9/4/2019 22:00,1567634400,22.5,22.73860332,22.23831501,20.86050141,1,0.1,98,,,19,20.5,21,21,21
GR,9/4/2019 23:00,1567638000,22.2,22.46930166,22.23483183,20.86187436,0,1.1,98,,,19,20.5,21,21,21
GR,9/5/2019 0:00,1567641600,22.2,22.33465083,22.2316653,20.86324279,,0.5,97,,,19,20.5,21,21,21
GR,9/5/2019 1:00,1567645200,22.2,22.26732541,22.22878663,20.86460697,,0.1,98,,,18.5,20.5,21,21.5,21
GR,9/5/2019 2:00,1567648800,22.1,22.18366271,22.21707876,20.86595809,,0.2,98,,,19,20.5,21,21.5,21
GR,9/5/2019 3:00,1567652400,22.2,22.19183135,22.21552614,20.86730631,,0.5,98,,,19,20.5,21,21.5,21
GR,9/5/2019 4:00,1567656000,22.1,22.14591568,22.20502377,20.86864269,,0.4,98,,,18.5,20.5,21,21.5,21
GR,9/5/2019 5:00,1567659600,22.1,22.12295784,22.19547615,20.86996819,,0.1,98,,,18.5,20,21,21.5,21
GR,9/5/2019 6:00,1567663200,22,22.06147892,22.17770559,20.87127463,0.1,1.1,98,0,,18.5,20,21,21.5,21
GR,9/5/2019 7:00,1567666800,22.3,22.18073946,22.18882327,20.87259086,,0.6,96,0.08,,18.5,20.5,21,21.5,21
GR,9/5/2019 8:00,1567670400,23.1,22.64036973,22.27165751,20.87398853,,0.6,92,0.38,,19,20.5,21,21.5,21
GR,9/5/2019 9:00,1567674000,24.1,23.37018486,22.43787047,20.87555085,,1,89,0.56,,21,21,20.5,21.5,21
GR,9/5/2019 10:00,1567677600,25,24.18509243,22.67079133,20.87734429,,0.4,84,0.8,,23,22,20.5,21,21
GR,9/5/2019 11:00,1567681200,25.5,24.84254622,22.92799212,20.87939289,,1,84,1.11,,24.5,22.5,20.5,21,21
GR,9/5/2019 12:00,1567684800,25.8,25.32127311,23.18908375,20.88170028,,1.3,82,1.15,,25,22.5,20.5,21,21
GR,9/5/2019 13:00,1567688400,25.4,25.36063655,23.39007613,20.88420615,,1.3,83,0.88,,25,23,20.5,21,21
GR,9/5/2019 14:00,1567692000,25.4,25.38031828,23.57279649,20.88689205,,1.2,84,0.68,,24.5,22.5,20.5,21,21
GR,9/5/2019 15:00,1567695600,24.8,25.09015914,23.68436044,20.88968672,0.4,0.8,88,0.28,,22.5,22,20.5,21,21
GR,9/5/2019 16:00,1567699200,24.4,24.74507957,23.74941858,20.8925436,0.5,1.2,93,0.25,,21,21.5,20.5,21,21
GR,9/5/2019 17:00,1567702800,24.1,24.42253978,23.78128962,20.89542946,1.5,1.4,95,0.09,,20,21.5,20.5,21,21
GR,9/5/2019 18:00,1567706400,23.9,24.16126989,23.79208147,20.89832322,0,0.4,96,0.01,,19,20,21,21,21
GR,9/5/2019 19:00,1567710000,23.5,23.83063495,23.76552861,20.90118756,4,0.5,97,0,,19,20,21,21,21
GR,9/5/2019 20:00,1567713600,23.2,23.51531747,23.71411692,20.90399768,6,1.2,98,,,19,20,21,21.5,21
GR,9/5/2019 21:00,1567717200,23,23.25765874,23.6491972,20.90674014,8,1.8,98,,,18.5,20,21,21.5,21
GR,9/5/2019 22:00,1567720800,22.9,23.07882937,23.58108836,20.90941181,3,0,98,,,18.5,20,21,21.5,21
GR,9/5/2019 23:00,1567724400,22.8,22.93941468,23.51008033,20.91200988,0,0.3,99,,,18.5,20,21,21.5,21
GR,9/6/2019 0:00,1567728000,22.6,22.76970734,23.42734576,20.91452271,,0.2,98,,,18.5,20,21,21.5,21
GR,9/6/2019 1:00,1567731600,22.5,22.63485367,23.3430416,20.9169488,,0.2,98,,,18.5,20,21,21.5,21
GR,9/6/2019 2:00,1567735200,22.4,22.51742684,23.25731054,20.91928682,,0.2,98,,,18,20,21,21.5,21
GR,9/6/2019 3:00,1567738800,22.1,22.30871342,23.15210049,20.92151741,0.2,1.3,98,,,18,20,21,21.5,21
GR,9/6/2019 4:00,1567742400,22.1,22.20435671,23.05645499,20.92365021,0.3,0.8,98,,,18,20,21,21.5,21
GR,9/6/2019 5:00,1567746000,22.2,22.20217835,22.97859545,20.9257031,0,0.2,97,,,18,20,21,21.5,21
GR,9/6/2019 6:00,1567749600,22.3,22.25108918,22.91690495,20.92769232,0,0.5,95,0,,18.5,20,21,21.5,21.5
GR,9/6/2019 7:00,1567753200,22.4,22.32554459,22.86991359,20.9296326,,0.9,98,0.07,,18.5,20,21,21.5,21.5
GR,9/6/2019 8:00,1567756800,23.4,22.86277229,22.91810327,20.93161908,0,0.1,94,0.37,,19,20,21,21.5,21.5
GR,9/6/2019 9:00,1567760400,24.8,23.83138615,23.08918479,20.93377449,,0.5,85,0.96,,20,20.5,21,21.5,21.5
GR,9/6/2019 10:00,1567764000,26.6,25.21569307,23.40834981,20.93624659,,1,77,1.62,,22.5,21.5,20.5,21.5,21.5
GR,9/6/2019 11:00,1567767600,26.9,26.05784654,23.72577255,20.93903333,,1.5,78,1.75,,23.5,22,20.5,21,21.5
GR,9/6/2019 12:00,1567771200,26.5,26.27892327,23.97797505,20.94206924,,2,79,2.02,,25.5,22.5,20.5,21,21
GR,9/6/2019 13:00,1567774800,26.9,26.58946163,24.24361368,20.94536748,,2.2,76,2.88,,26.5,23,20.5,21,21
GR,9/6/2019 14:00,1567778400,25.6,26.09473082,24.36692153,20.94878562,,1.4,81,1.03,,25.5,23,20.5,21,21
GR,9/6/2019 15:00,1567782000,25.1,25.59736541,24.43356502,20.95226692,0.5,1.6,86,0.62,,24.5,22.5,20.5,21,21
GR,9/6/2019 16:00,1567785600,25.3,25.4486827,24.51233184,20.95582343,,1,85,0.38,,23.5,22.5,20.5,21,21
GR,9/6/2019 17:00,1567789200,25,25.22434135,24.55666531,20.95942067,,1.1,89,0.14,,23,22.5,20.5,21,21
GR,9/6/2019 18:00,1567792800,24.7,24.96217068,24.56969574,20.96302734,,1.7,90,0.03,,21.5,22,20.5,21,21
GR,9/6/2019 19:00,1567796400,24.2,24.58108534,24.53608703,20.96659683,0,1.3,95,0,,21,22,21,21,21
GR,9/6/2019 20:00,1567800000,24.1,24.34054267,24.49644276,20.97012315,0,1,95,,,21,22,21,21,21
GR,9/6/2019 21:00,1567803600,23.8,24.07027133,24.43312978,20.9735827,0,0.6,94,,,21.5,22,20.5,21,21
GR,9/6/2019 22:00,1567807200,23.6,23.83513567,24.35739071,20.97696312,,0.3,93,,,21,22,21,21,21
GR,9/6/2019 23:00,1567810800,23.5,23.66756783,24.2794461,20.98026231,,0,95,,,20.5,21.5,21,21,21
GR,9/7/2019 0:00,1567814400,23.4,23.53378392,24.19949645,20.98347833,,0.2,94,,,19.5,21,21,21,21
GR,9/7/2019 1:00,1567818000,23.2,23.36689196,24.10863314,20.98660036,,1.2,95,,,19.5,21,21,21,21
GR,9/7/2019 2:00,1567821600,23.3,23.33344598,24.03512104,20.98964583,,0,94,,,19.5,21,21,21,21
GR,9/7/2019 3:00,1567825200,23.2,23.26672299,23.95920094,20.99261242,,1.1,94,,,20,21.5,21,21,21
GR,9/7/2019 4:00,1567828800,23,23.13336149,23.87200086,20.99548894,0.5,0.6,96,,,21,22,21,21,21
GR,9/7/2019 5:00,1567832400,23,23.06668075,23.79272805,20.99828338,,0.2,95,,,21,22,21,21,21
GR,9/7/2019 6:00,1567836000,22.8,22.93334037,23.70248005,21.00098488,0.5,1.3,97,0,,21,22,21,21,21
GR,9/7/2019 7:00,1567839600,23.1,23.01667019,23.64770913,21.00362896,0,0,97,0.01,,21.5,22,21,21,21
GR,9/7/2019 8:00,1567843200,23.2,23.10833509,23.6070083,21.00622973,0.5,1.1,98,0.05,,21.5,22.5,21,21,21
GR,9/7/2019 9:00,1567846800,25.7,24.40416755,23.79728028,21.009018,0,3.8,86,0.32,,21,22,21,21,21
GR,9/7/2019 10:00,1567850400,25.6,25.00208377,23.96116389,21.01196719,0,5.3,87,0.37,,21.5,22.5,20.5,21,21
GR,9/7/2019 11:00,1567854000,25.6,25.30104189,24.11014899,21.01506228,0.5,4.9,88,0.55,,21.5,22.5,21,21,21
GR,9/7/2019 12:00,1567857600,27.1,26.20052094,24.38195363,21.01842581,,5.3,81,1.25,,21,22,21,21,21
GR,9/7/2019 13:00,1567861200,28,27.10026047,24.71086693,21.02211456,,5.2,79,1.49,,20.5,22,21,21,21
GR,9/7/2019 14:00,1567864800,29.1,28.10013024,25.10987903,21.02619824,,5.3,76,1.77,,21.5,22.5,20.5,21,21
GR,9/7/2019 15:00,1567868400,30.9,29.50006512,25.63625366,21.03080369,,5.3,69,2.66,,22,22.5,20.5,21,21
GR,9/7/2019 16:00,1567872000,33,31.25003256,26.30568515,21.0360733,,5.6,47,2.13,,21,22,21,21,21
GR,9/7/2019 17:00,1567875600,32.1,31.67501628,26.83244104,21.04186388,,7.7,46,0.92,,20.5,22,21,21,21
GR,9/7/2019 18:00,1567879200,31.3,31.48750814,27.23858277,21.04805441,,5.3,50,0.42,,20.5,21,21,21,21
GR,9/7/2019 19:00,1567882800,30.7,31.09375407,27.55325706,21.05455311,,4.6,52,0.07,,20,20.5,21,21,21
GR,9/7/2019 20:00,1567886400,29.7,30.39687703,27.74841551,21.06124029,,4,54,,,20,20.5,21,21,21
GR,9/7/2019 21:00,1567890000,29.5,29.94843852,27.90765046,21.06807986,,4.7,50,,,19.5,20,21,21,21
GR,9/7/2019 22:00,1567893600,28.8,29.37421926,27.98877315,21.07499364,,3.6,51,,,19,20,21,21.5,21
GR,9/7/2019 23:00,1567897200,28.4,28.88710963,28.02615741,21.08193786,,4,53,,,19.5,20,21,21.5,21
GR,9/8/2019 0:00,1567900800,28,28.44355481,28.02377946,21.08887276,,2.3,54,,,19,20,21,21.5,21
GR,9/8/2019 1:00,1567904400,27.7,28.07177741,27.99434497,21.09577134,,3,56,,,19,20,21,21.5,21
GR,9/8/2019 2:00,1567908000,27.1,27.5858887,27.91304088,21.1025818,,4.7,57,,,19,20,21,21.5,21
GR,9/8/2019 3:00,1567911600,27.4,27.49294435,27.8664008,21.10933886,,4.7,57,,,19,20,21,21.5,21
GR,9/8/2019 4:00,1567915200,26.8,27.14647218,27.76945527,21.11599232,,4.6,58,,,18.5,20,21,21.5,21
GR,9/8/2019 5:00,1567918800,26.5,26.82323609,27.65405025,21.12252385,,4.1,58,,,18.5,20,21,21.5,21
GR,9/8/2019 6:00,1567922400,26.4,26.61161804,27.54004568,21.12893496,,5.7,60,,,18.5,20.5,21,21.5,21
GR,9/8/2019 7:00,1567926000,27,26.80580902,27.49095062,21.13529062,,6.2,58,0.21,,18.5,20.5,21,21.5,21
GR,9/8/2019 8:00,1567929600,28,27.40290451,27.53722783,21.14168616,,5.7,57,1.18,,18.5,20.5,21,21.5,21.5
GR,9/8/2019 9:00,1567933200,28.1,27.75145226,27.58838894,21.14812642,,1,58,1.39,,19.5,21,21,21.5,21.5
GR,9/8/2019 10:00,1567936800,27.6,27.67572613,27.58944449,21.15456131,,3.8,61,0.98,,19.5,21,21,21.5,21.5
GR,9/8/2019 11:00,1567940400,28.1,27.88786306,27.63585863,21.16103613,,4.7,58,1.22,,20.5,21.5,21,21.5,21.5
GR,9/8/2019 12:00,1567944000,28,27.94393153,27.66896239,21.16753755,,3.1,56,1.4,,20.5,21.5,21,21.5,21.5
GR,9/8/2019 13:00,1567947600,28.6,28.27196577,27.75360217,21.17411704,,3,54,1.41,,21.5,22,21,21.5,21.5
GR,9/8/2019 14:00,1567951200,29.1,28.68598288,27.87600197,21.18081223,,3.1,55,1.73,,21.5,21.5,21,21.5,21.5
GR,9/8/2019 15:00,1567954800,29.1,28.89299144,27.98727452,21.18761189,,2.1,56,1.31,,21.5,22,21,21.5,21.5
GR,9/8/2019 16:00,1567958400,29.6,29.24649572,28.13388593,21.19455122,,3.3,56,1.42,,20.5,21.5,21,21.5,21
GR,9/8/2019 17:00,1567962000,29,29.12324786,28.21262357,21.20156229,,1.8,60,0.83,,20.5,21.5,21,21.5,21
GR,9/8/2019 18:00,1567965600,27.7,28.41162393,28.16602143,21.20851979,,3.4,61,0.37,,20,21.5,21,21.5,21
GR,9/8/2019 19:00,1567969200,27,27.70581197,28.06001948,21.21536444,,2.5,62,0.06,,20,21,21,21.5,21
GR,9/8/2019 20:00,1567972800,26.4,27.05290598,27.90910862,21.2220515,,1,64,,,19,21,21,21.5,21
GR,9/8/2019 21:00,1567976400,26,26.52645299,27.73555329,21.22855849,,2.3,65,,,19,20.5,21,21.5,21
GR,9/8/2019 22:00,1567980000,25.8,26.1632265,27.5595939,21.23488321,,1.5,65,,,19,20.5,21,21.5,21
GR,9/8/2019 23:00,1567983600,26,26.08161325,27.41781264,21.24105996,,1.4,62,,,18.5,20.5,21,21.5,21.5
GR,9/9/2019 0:00,1567987200,25.6,25.84080662,27.25255694,21.24706545,,0.9,65,,,18.5,20.5,21,21.5,21.5
GR,9/9/2019 1:00,1567990800,25.4,25.62040331,27.08414267,21.2528967,,1.4,65,,,18.5,20.5,21,21.5,21.5
GR,9/9/2019 2:00,1567994400,24.7,25.16020166,26.86740243,21.25850559,,0.2,69,,,18.5,20.5,21,21.5,21.5
GR,9/9/2019 3:00,1567998000,25.4,25.28010083,26.73400221,21.26397562,,2.1,65,,,18.5,20,21,21.5,21.5
GR,9/9/2019 4:00,1568001600,25.2,25.24005041,26.59454746,21.26930087,,1.8,65,,,18.5,20,21,21.5,21.5
GR,9/9/2019 5:00,1568005200,24.8,25.02002521,26.43140679,21.27445781,,1.7,68,,,18,20,21,21.5,21.5
GR,9/9/2019 6:00,1568008800,25,25.0100126,26.3012789,21.27947961,,2,66,,,18,20,21,21.5,21.5
GR,9/9/2019 7:00,1568012400,24.5,24.7550063,26.13752627,21.28433281,,1.4,72,0.07,,18,20,21,21.5,21.5
GR,9/9/2019 8:00,1568016000,25,24.87750315,26.03411479,21.28907784,,1.5,70,0.22,,18.5,20.5,21,21.5,21.5
GR,9/9/2019 9:00,1568019600,25.9,25.38875158,26.02192254,21.29380596,,2.1,68,0.52,,19,20.5,21,21.5,21.5
GR,9/9/2019 10:00,1568023200,27,26.19437579,26.11083867,21.29861818,,1.4,64,0.95,,19.5,20.5,21,21.5,21.5
GR,9/9/2019 11:00,1568026800,27.6,26.89718789,26.24621697,21.30356084,,1.4,61,0.84,,20,21,21,21.5,21.5
GR,9/9/2019 12:00,1568030400,28.6,27.74859395,26.46019725,21.30871232,,1.6,58,1.82,,20,21,21,21.5,21.5
GR,9/9/2019 13:00,1568034000,28.2,27.97429697,26.61836113,21.31401667,,1.4,63,1.49,,21,21,21,21.5,21.5
GR,9/9/2019 14:00,1568037600,27.7,27.83714849,26.71669194,21.31941394,0,1,65,1.17,,20.5,21,21,21.5,21.5
GR,9/9/2019 15:00,1568041200,27.1,27.46857424,26.75153813,21.32484064,,1.5,67,1.34,,20,21,21,21.5,21.5
GR,9/9/2019 16:00,1568044800,26.2,26.83428712,26.7013983,21.33021183,,2.1,68,0.8,,20.5,21,21,21.5,21.5
